Stage 7efe861a-2ba9-454c-a7dd-03971a2cd6f6 #primary instance
	$::Asset
		$::DataContainer
		Name _c4/Gameplay/TheRun/Stages/Stage3
	Title ID_AUTOLOG_TR_STAGE_3
	Number 3
	Location ID_STAGE_LOCATION_LASVEGAS
	TargetPosition 0
	Chapters::array
		member(0) _c4/Gameplay/TheRun/Chapters/3_1/78b095bc-f980-4fe4-a67d-b7d7d318ceed
		member(1) _c4/Gameplay/TheRun/Chapters/3_2/1f0c5508-084a-42cc-9f19-1318c376bb7e
		member(2) _c4/Gameplay/TheRun/Chapters/3_3/717933eb-a746-412f-877a-2e82a637cdec
		member(3) _c4/Gameplay/TheRun/Chapters/3_41/0a697ca0-7ca7-4507-82ee-9735cfbcd8b1
		member(4) _c4/Gameplay/TheRun/Chapters/3_5/26f7cf60-f5b5-44ff-83ff-6bd9fe73db65
		member(5) _c4/Gameplay/TheRun/Chapters/3_51/6edebfdc-4788-434d-bb7e-f10f5b246e7c
		member(6) _c4/Gameplay/TheRun/Chapters/3_53/deaea10e-3873-cceb-74e8-825ca0ef90d0
	ReplayTitle ID_STAGE_SELECT_STAGE_3_NAME
	ReplayDescription ID_STAGE_SELECT_STAGE_3_DESC
	ReplayUnlockDesc ID_STAGE_SELECT_STAGE_LOCKED
	StageLocation ID_STAGE_SELECT_STAGE_3_LOCATION
	ImageName _c4/UI/Textures/AutologChallenges/Stages/cs_pack_3
